Folder,Count_assert_statements
ompi,1117
ompi\.ci,0
ompi\.git,0
ompi\.github,0
ompi\.idea,0
ompi\3rd-party,306
ompi\config,0
ompi\contrib,4
ompi\docs,0
ompi\examples,0
ompi\ompi,323
ompi\opal,422
ompi\oshmem,62
